prompt,url
3D Sierpinski pyramid,https://d2t1xqejof9utc.cloudfront.net/screenshots/pics/d7d6e32c67d9410a8e0003634be71ad4/large.jpg
Blue whale,https://thumbs.dreamstime.com/b/blue-whale-isolated-white-background-illustration-high-resolution-illustration-blue-whale-isolated-white-background-274085241.jpg
Bouquet of roses,https://media.istockphoto.com/id/174812956/photo/dozen-roses.jpg?s=612x612&w=0&k=20&c=G30YG1YC3uAyNVVEPHM6YWVMuZJZ5vcjZ5iVrpi5jgk=
British telephone booth,https://thumbs.dreamstime.com/b/red-telephone-box-booth-london-uk-cut-out-isolated-transparent-white-background-296269143.jpg
Coke Bottle,https://thumbs.dreamstime.com/b/coca-cola-bottle-isolated-white-background-126781101.jpg
Colosseum,https://images.rawpixel.com/image_png_800/cHJpdmF0ZS9sci9pbWFnZXMvd2Vic2l0ZS8yMDI0LTAxL3Jhd3BpeGVsb2ZmaWNlOF9mcm9udF92aWV3X2FyY2hpdGVjdHVyZV9waG90b19vZl9hX2NvbG9zc2V1bV9pbl8zNTJiOTNmYS1iN2UxLTRjNmQtYTkyMi05NjEwNTk1Yjg1OThfMS5wbmc.png
Digital SLR camera on a tripod,https://as1.ftcdn.net/v2/jpg/00/98/78/26/1000_F_98782646_sSMkmmAumLnwMO95jzSiKwjPeuFiePTN.jpg
Eiffel Tower,https://thumbs.dreamstime.com/b/eiffel-tower-over-white-background-paris-france-champ-de-mars-68457724.jpg
Family of deer,https://thumbs.dreamstime.com/b/watercolor-deer-family-illustration-hand-painted-realistic-buck-doe-fawn-deer-sketch-woodland-animals-drawing-isolated-236472217.jpg
Goomba,https://mario.wiki.gallery/images/7/7d/SMBW_Goomba.png
Guitar,https://i.pinimg.com/736x/41/48/12/414812081701a60d85f8123f150e1d22.jpg
Hot-air balloon,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTpls4dCUu0zC-04tUhFMa5qFo6lJe1rhlSh4h07BEa7Q&s
Jellyfish,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRs5cEP99Nffl3XFhzstooSYioMgpJJaRs25w0RNeoEhA&s
Lego Minifigure,https://img.bricklink.com/ItemImage/ML/soc092.png
Lighthouse,https://www.store.kauffmanmarketplace.com/cdn/shop/products/5_FT_Vermillion_Lighthouse_1024x1024.jpg?v=1533228003
Mario,https://upload.wikimedia.org/wikipedia/en/a/a9/MarioNSMBUDeluxe.png
Moai Statue,https://cdn.kastatic.org/ka-content-images/43c47d5ea599e58a94fa47b7736fff702eb6e159.jpg
Octopus,https://img.freepik.com/premium-photo/detailed-scientific-illustration-serene-octopus-white-background_899449-56529.jpg
Olaf from Frozen,https://www.allamericanballoons.net/cdn/shop/products/Untitleddesign-2022-12-16T104053.650.png?v=1671208864
Pac-Man,https://d2pas86kykpvmq.cloudfront.net/images/freebies/freebie-inner-15.png
Panda,https://t3.ftcdn.net/jpg/06/24/97/34/360_F_624973406_6wHVkMYI5GtVT7ZXzuICcnhzHwC2ploh.jpg
Pikachu,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT0-XuiqmVfmNfW5t1-OO8v0OY654OKT6k-RoqTgijiTA&s
Princess Peach,https://upload.wikimedia.org/wikipedia/en/1/16/Princess_Peach_Stock_Art.png
Quill and ink,https://thumbs.dreamstime.com/b/feather-quill-pen-ink-bottle-isolated-white-background-feather-quill-pen-ink-bottle-isolated-white-background-140008916.jpg
Rubik's Cube,https://previews.123rf.com/images/christianchan/christianchan1506/christianchan150600202/43350056-rubik-s-cube-is-isolated-on-white-background.jpg
Shrek,https://www.nbcstore.com/cdn/shop/products/SHREK-SS-63-MF1.jpg?v=1693905182
Slinky,https://thumbs.dreamstime.com/b/silver-slinky-spring-isolated-helical-metal-toy-png-transparent-background-78432759.jpg
Snail,https://t3.ftcdn.net/jpg/00/72/42/22/360_F_72422248_J2WCkA6E7otHoscrwZGpWPKGMVMqM5UV.jpg
Space Invader,https://png.pngtree.com/png-clipart/20230823/original/pngtree-space-invaders-character-game-play-picture-image_8233346.png
Sphinx,https://www.shutterstock.com/image-photo/sphinx-on-white-background-260nw-118278475.jpg
Statue of Liberty,https://thumbs.dreamstime.com/b/statue-liberty-white-background-new-york-city-isolated-61476061.jpg
Taj Mahal,https://png.pngtree.com/background/20230621/original/pngtree-white-background-with-a-3d-glossy-taj-mahal-monument-picture-image_3893624.jpg
Thinker Statue,https://img.freepik.com/premium-photo/thinker-statue-having-white-background-generative-ai_914383-829.jpg
Toothless from How to Train Your Dragon,"https://ih1.redbubble.net/image.5122709637.7245/flat,750x,075,f-pad,750x1000,f8f8f8.jpg"
Tornado,https://t4.ftcdn.net/jpg/05/45/97/87/360_F_545978716_zlbguBNtGA7SzKJFehGy6moJ4FBwteCO.jpg
Totoro,https://static.wikia.nocookie.net/disney/images/5/53/Totoro.jpg/revision/latest?cb=20120111023322
Treble clef,https://i.pinimg.com/736x/f4/3a/9f/f43a9fad95c53e2c32f178788d0c584d.jpg
Windmill,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQQc7t8QWha_1Fws2r4PSJcIFrduEVCR7VH-HQpF9TrZQ&s
